System/Element;PNO-LCCSD(T)-F12b
s_na_28_C_cation;-37.375894106
s_na_28_C;-37.788233228
s_na_28_N;-54.527876125
s_na_28_Na;-162.180757597
;
s_na_29;-847.473796120
s_na_29_H;-0.499946081761
s_na_29_Na;-162.180830817
s_na_29_P_cation;-340.443409313
s_na_29_P;-340.829926581
;
s_mg_1;-1234.677311390
s_mg_1_H;-0.499946081761
s_mg_1_C;-37.788224998
s_mg_1_O_anion;-75.055605810
s_mg_1_O;-75.002258158
s_mg_1_Mg;-199.974391102
;
s_mg_2;-499.641122580
s_mg_2_F_anion;-99.791222440
s_mg_2_F;-99.665108570
s_mg_2_Mg;-199.974512461
;
s_mg_3;-201.763559740
s_mg_3_H_anion;-0.513835210
s_mg_3_H;-0.499946081761
s_mg_3_Mg;-199.974671515
;
s_mg_4;-2031.137511000
s_mg_4_H;-0.499946081761
s_mg_4_C;-37.788304138
s_mg_4_O;-75.002383288
s_mg_4_F;-99.665131895
s_mg_4_Mg;-199.974533582
s_mg_4_P;-340.829977115
s_mg_4_Cl_anion;-459.838477542
;
s_mg_5;-2031.314052470
s_mg_5_H;-0.499946081761
s_mg_5_C;-37.788304763
s_mg_5_O;-75.002384276
s_mg_5_F;-99.665133137
s_mg_5_Mg;-199.974534707
s_mg_5_P;-340.829978280
s_mg_5_Cl_anion;-459.838480277
;
s_mg_6;-1719.344958450
s_mg_6_H;-0.499946081761
s_mg_6_C;-37.788268607
s_mg_6_F;-99.665061249
s_mg_6_Mg;-199.974469612
s_mg_6_P;-340.829910810
s_mg_6_S;-397.672824051
;
s_mg_7;-1081.624921670
s_mg_7_H;-0.499946081761
s_mg_7_C;-37.788256852
s_mg_7_N;-54.527903710
s_mg_7_O;-75.002308523
s_mg_7_F;-99.665037878
s_mg_7_Mg;-199.974448450
s_mg_7_S;-397.672795041
;
s_mg_8;-2239.440086190
s_mg_8_Mg;-199.974609426
s_mg_8_Cl;-459.703621913
;
s_mg_9;-799.503781080
s_mg_9_F;-99.665139216
s_mg_9_Mg;-199.974540211
;
s_mg_10;-4478.929996840
s_mg_10_Mg;-199.974604197
s_mg_10_Cl;-459.703613072
;
s_mg_11;-804.732982480
s_mg_11_H;-0.499946081761
s_mg_11_Mg;-199.974687086
;
s_mg_12;-1310.063387700
s_mg_12_H;-0.499946081761
s_mg_12_C;-37.788296588
s_mg_12_N;-54.527950107
s_mg_12_O;-75.002371351
s_mg_12_Mg;-199.974519990
;
s_mg_13;-2391.493739930
s_mg_13_Mg;-199.974635209
s_mg_13_S;-397.673051052
;
s_mg_14;-431.882351060
s_mg_14_H;-0.499946081761
s_mg_14_C;-37.788251920
s_mg_14_Mg;-199.974439570
;
s_mg_15;-1232.778709160
s_mg_15_H;-0.499946081761
s_mg_15_N;-54.527941367
s_mg_15_Mg;-199.974506515
s_mg_15_Cl;-459.703447897
;
s_mg_16;-663.781919710
s_mg_16_H;-0.499946081761
s_mg_16_C;-37.788228017
s_mg_16_Mg;-199.974396537
;
s_mg_17;-356.882344170
s_mg_17_H;-0.499946081761
s_mg_17_C;-37.788255661
s_mg_17_Mg;-199.974446305
;
s_mg_18;-552.522092130
s_mg_18_H;-0.499946081761
s_mg_18_O;-75.002336155
s_mg_18_F;-99.665072625
s_mg_18_Mg;-199.974479913
;
s_mg_19;-240.409784770
s_mg_19_H;-0.499946081761
s_mg_19_C;-37.788325205
s_mg_19_Mg;-199.974571510
;
s_mg_20;-279.677584420
s_mg_20_H;-0.499946081761
s_mg_20_C;-37.788291066
s_mg_20_Mg;-199.974510048
;
s_mg_21;-331.724246140
s_mg_21_H;-0.499946081761
s_mg_21_N;-54.527944680
s_mg_21_O;-75.002364003
s_mg_21_Mg;-199.974511623
;
s_mg_22;-1187.140599720
s_mg_22_H;-0.499946081761
s_mg_22_C;-37.788216320
s_mg_22_N;-54.527856383
s_mg_22_Mg;-199.974375477
;
s_mg_23;-2203.846512450
s_mg_23_H;-0.499946081761
s_mg_23_C;-37.788322319
s_mg_23_N;-54.527980151
s_mg_23_O;-75.002412035
s_mg_23_F;-99.665168044
s_mg_23_Mg;-199.974566315
s_mg_23_S;-397.672956611
s_mg_23_Cl;-459.703549015
;
s_mg_24;-659.519217340
s_mg_24_Mg_cation;-199.694010212
s_mg_24_Cl;-459.703705248
;
s_mg_25;-315.556221500
s_mg_25_H;-0.499946081761
s_mg_25_C;-37.788282358
s_mg_25_Mg_cation;-199.693898611
;
s_mg_26;-299.524401130
s_mg_26_F;-99.665202315
s_mg_26_Mg_cation;-199.693968542
;
s_mg_27;-2003.863275550
s_mg_27_H;-0.499946081761
s_mg_27_C;-37.788310490
s_mg_27_N;-54.527966339
s_mg_27_O;-75.002393332
s_mg_27_F;-99.665144526
s_mg_27_Mg_cation;-199.693933006
s_mg_27_Mg;-199.974545019
s_mg_27_S;-397.672927418
s_mg_27_Cl;-459.703513005
;
s_mg_28;-1867.441974840
s_mg_28_H;-0.499946081761
s_mg_28_C;-37.788305567
s_mg_28_N;-54.527960591
s_mg_28_Mg_cation;-199.693926987
s_mg_28_Mg;-199.974536155
s_mg_28_Si;-288.938726746
s_mg_28_S;-397.672915268
;
s_k_1;-600.616346750
s_k_1_H_anion;-0.513835210
s_k_1_H;-0.499946081761
s_k_1_K;-599.459223650
;
s_k_2;-2044.433828560
s_k_2_H;-0.499946081761
s_k_2_C;-37.788311951
s_k_2_N;-54.527968045
s_k_2_O_anion;-75.055946378
s_k_2_O;-75.002395642
s_k_2_K;-599.458901106
;
s_k_3;-2060.156602970
s_k_3_H;-0.499946081761
s_k_3_B;-24.601584518
s_k_3_C_anion;-37.833165216
s_k_3_C;-37.788300294
s_k_3_N;-54.527954434
s_k_3_K;-599.458862381
;
s_k_4;-3051.889544810
s_k_4_H;-0.499946081761
s_k_4_C;-37.788235589
s_k_4_N;-54.527878882
s_k_4_O;-75.002274904
s_k_4_S;-397.672742565
s_k_4_K;-599.458647432
;
s_k_5;-1462.652330130
s_k_5_C;-37.788299887
s_k_5_O;-75.002376567
s_k_5_K;-599.458861029
;
s_k_6;-1398.705418620
s_k_6_F;-99.665191747
s_k_6_K;-599.458975150
;
s_k_7;-1274.103939000
s_k_7_O;-75.002458010
s_k_7_K;-599.459032144
;
s_k_8;-1994.599296810
s_k_8_S;-397.673070462
s_k_8_K;-599.459088798
;
s_k_9;-2926.042654780
s_k_9_H;-0.499946081761
s_k_9_C;-37.788275160
s_k_9_N;-54.527925086
s_k_9_K;-599.458778886
;
s_k_10;-3006.512100690
s_k_10_H;-0.499946081761
s_k_10_C;-37.788298758
s_k_10_N;-54.527952640
s_k_10_O;-75.002374782
s_k_10_F;-99.665121198
s_k_10_K;-599.458857278
;
s_k_11;-3397.413366470
s_k_11_H;-0.499946081761
s_k_11_C;-37.788346079
s_k_11_Cl;-459.703621347
s_k_11_K;-599.459014478
;
s_k_12;-2621.655763300
s_k_12_H;-0.499946081761
s_k_12_N;-54.527972654
s_k_12_K;-599.458914219
;
s_k_13;-4795.833018260
s_k_13_K;-599.459273612
;
s_k_14;-639.283567780
s_k_14_H;-0.499946081761
s_k_14_C;-37.788326619
s_k_14_K;-599.458949833
;
s_k_15;-2118.683941040
s_k_15_Cl;-459.703709842
s_k_15_K;-599.459111045
;
s_k_16;-4237.417590350
s_k_16_Cl;-459.703707762
s_k_16_K;-599.459108776
;
s_k_17;-792.742129190
s_k_17_H;-0.499946081761
s_k_17_C;-37.788253254
s_k_17_K;-599.458706116
;
s_k_18;-1407.837270370
s_k_18_H;-0.499946081761
s_k_18_C;-37.788295831
s_k_18_N;-54.527949223
s_k_18_O;-75.002370154
s_k_18_K;-599.458847556
;
s_k_19;-2110.656015840
s_k_19_H;-0.499946081761
s_k_19_B;-24.601579115
s_k_19_C;-37.788291836
s_k_19_N;-54.527944558
s_k_19_O;-75.002363837
s_k_19_K;-599.458834283
;
s_k_20;-1561.542302860
s_k_20_H;-0.499946081761
s_k_20_B;-24.601568827
s_k_20_C;-37.788275731
s_k_20_N;-54.527925753
s_k_20_O;-75.002338373
s_k_20_K;-599.458780783
;
s_k_21;-676.534899660
s_k_21_H;-0.499946081761
s_k_21_C_cation;-37.375936053
s_k_21_C;-37.788309572
s_k_21_K;-599.458893202
;
s_k_22;-677.787497090
s_k_22_H;-0.499946081761
s_k_22_C_cation;-37.375932090
s_k_22_C;-37.788302359
s_k_22_K;-599.458869241
;
s_k_23;-752.100616490
