System;PNO-LCCSD(T)-F12b;wB97M-V;PBE0-D4;B3LYP-D4;M06-2X;r2SCAN-D4;PBE-D4;g-xTB;UMA;r2SCAN-3c
s_na_25;-622.376291220000;-622.889011075300;-622.678368267700;-622.854597954800;-622.890272181100;-622.873053573600;-622.625177389500;-622.875541179500;-622.872046670000;-622.842345896300
s_na_26;-547.355633830000;-548.010560008000;-547.633965806600;-547.947556537500;-548.004090553200;-547.938085583500;-547.585296859700;-547.987096059200;-547.983485710000;-547.891867322600
s_na_27;-388.139010930000;-388.438959988800;-388.212561606800;-388.434581012400;-388.437420580600;-388.414649543800;-388.179277614300;-388.424023685600;-388.409225990000;-388.364009701900
s_na_28;-409.981229050000;-410.416373449600;-410.139681029200;-410.372215969300;-410.404511559400;-410.360447791400;-410.109740097300;-410.407880137200;-410.396352540000;-410.325264187800
s_na_29;-847.473796120000;-848.379501201500;-848.101430807100;-848.363766309900;-848.387338557100;-848.379656805000;-848.020976591200;-848.352985464500;-848.345607560000;-848.325880241400
s_mg_1;-1234.677311390000;-1236.051740615000;-1235.191318744000;-1235.934413372000;-1236.025035932000;-1235.892518261000;-1235.141058902000;-1235.990076163200;-1235.986193230000;-1235.760526418000
s_mg_2;-499.641122580000;-499.969305666200;-499.656503716900;-499.932396792800;-499.934227216800;-499.902865178400;-499.647876465900;-499.969357987300;-499.948041030000;-499.856333886900
s_mg_3;-201.763559740000;-201.838531809100;-201.755613420300;-201.849990252000;-201.834472660700;-201.835984865600;-201.733879323800;-201.832590434000;-201.830071270000;-201.778936080700
s_mg_4;-2031.137511000000;-2032.757204947000;-2031.825954319000;-2032.635774981000;-2032.726278541000;-2032.625702819000;-2031.694899670000;-2032.674204192400;-2032.678343490000;-2032.479908414000
s_mg_5;-2031.314052470000;-2032.925723288000;-2031.997076925000;-2032.804734476000;-2032.896565390000;-2032.798612553000;-2031.859652853000;-2032.843539315100;-2032.846555640000;-2032.647242077000
s_mg_6;-1719.344958450000;-1721.097330039000;-1720.358374838000;-1720.993882571000;-1721.062029465000;-1721.001744914000;-1720.269104494000;-1721.061213933800;-1721.036371400000;-1720.876791955000
s_mg_7;-1081.624921670000;-1082.636508166000;-1082.068510891000;-1082.546350559000;-1082.604520041000;-1082.538757219000;-1082.029465477000;-1082.600613752700;-1082.590012470000;-1082.449329497000
s_mg_8;-2239.440086190000;-2241.348903723000;-2240.645732075000;-2241.217400743000;-2241.370922895000;-2241.293832300000;-2240.458684886000;-2241.279239105200;-2241.280194410000;-2241.181531169000
s_mg_9;-799.503781080000;-800.000695290000;-799.519949655700;-799.938136273100;-799.949184455400;-799.904520796800;-799.490464550600;-799.968662758400;-799.962035520000;-799.842625121400
s_mg_10;-4478.929996840000;-4482.749756121000;-4481.343026332000;-4482.484295365000;-4482.796835211000;-4482.639900425000;-4480.967959339000;-4482.606025856400;-4482.616899680000;-4482.416502266000
s_mg_11;-804.732982480000;-805.047126561200;-804.704121634500;-805.047595240100;-805.035651280800;-805.026878588800;-804.616165638100;-804.996972011500;-805.016916690000;-804.944039552600
s_mg_12;-1310.063387700000;-1310.954665996000;-1310.168421012000;-1310.830411401000;-1310.900048704000;-1310.804436580000;-1310.109720243000;-1310.892857114100;-1310.894553620000;-1310.687143310000
s_mg_13;-2391.493739930000;-2393.559126095000;-2392.718758277000;-2393.404583751000;-2393.550115295000;-2393.484616318000;-2392.515036835000;-2393.472018279600;-2393.472869650000;-2393.359819639000
s_mg_14;-431.882351060000;-432.311650790100;-432.044350472700;-432.279660552900;-432.310239303600;-432.253336664900;-432.005742500200;-432.283901149800;-432.288783150000;-432.219985527700
s_mg_15;-1232.778709160000;-1233.840362282000;-1233.418713393000;-1233.778406290000;-1233.859009537000;-1233.808068403000;-1233.314701775000;-1233.797429915700;-1233.794929900000;-1233.732977964000
s_mg_16;-663.781919710000;-664.544045321500;-664.106905633300;-664.468822604500;-664.551142476200;-664.462612266300;-664.044648187100;-664.510549762400;-664.507408390000;-664.397092632300
s_mg_17;-356.882344170000;-357.157658769600;-356.979669754400;-357.164362236600;-357.177155325500;-357.163898004100;-356.954370869800;-357.139488893100;-357.155402970000;-357.126783799100
