Element  (for transition metal atoms, we additionally report „state-controlled“ energies, see main paper Sec. 3.2);wB97M-V;PBE0-D4;B3LYP-D4;M06-2X;r2SCAN-D4;PBE-D4;g-xTB;UMA;r2SCAN-3c
Sb;-240.180383703500;-240.223607674600;-240.208714345000;-240.155599182000;-240.311376986700;-240.208311419600;-240.180855142734;-240.179455020000;-240.310205594400
Sb_cation;-239.853559271500;-239.891503494200;-239.883514362100;-239.826361369900;-239.974595636000;-239.879005986500;-239.841234426978;-239.852638677726;-239.973325475000
Sb_anion;-240.211174795500;-240.254157456900;-240.242587471300;-240.177229536200;-240.342852370100;-240.240519028500;-240.194494863364;-240.208383953855;-240.338050521600
Te;-267.960657907800;-267.995892363400;-267.985174472100;-267.922459482800;-268.090099451600;-267.974462915100;-267.957424000176;-267.959469610000;-268.086484327900
Te_cation;-267.639601819900;-267.675051625700;-267.661485723300;-267.612697626100;-267.768566416700;-267.653592403500;-267.660968434676;-267.638599621868;-267.767453032900
Te_anion;-268.032062149500;-268.068242401500;-268.058339712500;-267.985365615200;-268.162851115700;-268.047654363200;-268.018079877134;-268.032829055403;-268.158054547300
I;-297.665877249100;-297.694107903200;-297.685264478700;-297.612802439800;-297.796575166700;-297.666488724900;-297.664662498543;-297.665096970000;-297.708955522100
I_cation;-297.280387415800;-297.307064350000;-297.297958356500;-297.235255265900;-297.409182915900;-297.280338598200;-297.298292294522;-297.279498884852;-297.321644842800
I_anion;-297.781038749600;-297.811392854700;-297.801528249700;-297.723900572700;-297.914926793800;-297.783433994700;-297.778927238024;-297.782111336630;-297.828574449100
Xe;-329.354603363400;-329.378436602200;-329.369062100200;-329.295230329100;-329.488360693000;-329.343681442400;-329.349696590095;-329.354041090000;-329.487194352400
Xe_cation;-328.902496865000;-328.923541230200;-328.916010152800;-328.844961650300;-329.032215178500;-328.891078450100;-328.891747924526;-328.901528448281;-329.028276686900
Cs;-20.066625712990;-20.140094512720;-20.119499907000;-20.075596298500;-20.148610827360;-20.147448251040;-20.065295066635;-20.066313070000;-20.148482203220
Ba;-25.379500291930;-25.446460255480;-25.432308195130;-25.390174666060;-25.449523415970;-25.467089592390;-25.383095031914;-25.379411420000;-25.448915001390
Ba_cation;-25.187262751360;-25.259107352090;-25.243265180460;-25.191460327800;-25.269589067110;-25.276730830570;-25.186486686525;-25.186937169078;-25.268307949190
Hf;-47.781474728500;-47.844006484240;-47.840554035730;-47.779757554750;-47.873522990600;-47.873526718800;-47.792879168276;-47.780661510000;-47.856760639520
Hf (state-controlled);-47.781466390000;-47.844012450000;-47.840563120000;-47.780210950000;-47.873475390000;-47.873534220000;;;
Ta;-56.757200938800;-56.824076675710;-56.818323511890;-56.752255294020;-56.861265985520;-56.858771810930;-56.744716627061;-56.755998100000;-56.847227865480
Ta (state-controlled);-56.757209080000;-56.824074300000;-56.818323750000;-56.752150330000;-56.861246280000;-56.858770930000;;;
W;-66.835868416430;-66.911685633300;-66.897690013330;-66.832556398220;-66.960040481490;-66.951327872640;-66.770751348068;-66.833168310000;-66.940755481720
W (state-controlled);-66.834607410000;-66.906170230000;-66.895626200000;-66.828114520000;-66.946477270000;-66.944680860000;;;
Re;-78.092206960700;-78.167374117810;-78.151609301130;-78.080410948550;-78.216207664410;-78.205853246250;-78.119313040046;-78.024116530000;-78.206540841830
Re (state-controlled);-78.092183180000;-78.167368330000;-78.151607850000;-78.080549100000;-78.216187820000;-78.205851700000;;;
